ciudad,codigo_dominio,anio,meses_incluidos,bloque_indicador,nombre_indicador,valor,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,fuente,observacion
Armenia,63,2025,Ene-Dic (12 meses),esfuerzo_financiero,Arrendatarios que destinan >50% del ingreso al arriendo,12.07,,,,,4617,,ACEPTABLE,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",sobrecarga severa (>50%)
Armenia,63,2025,Ene-Dic (12 meses),esfuerzo_financiero,Arriendo/ingreso del hogar (mediana),25.35,,,,,4617,,ACEPTABLE,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",Merge con 99.5% de coincidencia
Armenia,63,2025,Ene-Dic (12 meses),hacinamiento,Hogares con hacinamiento (>3 personas/cuarto para dormir),0.66,0.0963,0.4820,0.8484,1.2990,9233,14.5173,ACEPTABLE,"GEIH 2025 (DANE, catalogo ANDA 853)","Umbral >3 sobre CUARTOS PARA DORMIR (P5010), no cuartos totales"
Armenia,63,2025,Ene-Dic (12 meses),hacinamiento,Hogares con hacinamiento critico NBI (>3 personas/cuarto TOTAL),0.19,,,,,9233,,NO PUBLICAR,"GEIH 2025 (DANE, catalogo ANDA 853)",Definicion oficial DANE-NBI (cuartos totales incl. sala-comedor)
Armenia,63,2025,Ene-Dic (12 meses),hacinamiento,Personas por cuarto para dormir - mediana,1.33,,,,,9233,,ACEPTABLE,"GEIH 2025 (DANE, catalogo ANDA 853)",
Armenia,63,2025,Ene-Dic (12 meses),hacinamiento,Personas por cuarto para dormir - promedio,1.43,0.0059,1.4170,1.4406,1.2103,9233,0.4157,EXCELENTE,"GEIH 2025 (DANE, catalogo ANDA 853)",
Armenia,63,2025,Ene-Dic (12 meses),ingreso_pobreza,% arrendatarios en pobreza monetaria,25.6,,,,,4656,,ACEPTABLE,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",
Armenia,63,2025,Ene-Dic (12 meses),ingreso_pobreza,% hogares no pobres que viven en arriendo,48.02,,,,,7482,,ACEPTABLE,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",
Armenia,63,2025,Ene-Dic (12 meses),ingreso_pobreza,% hogares pobres que viven en arriendo,65.55,,,,,1751,,ACEPTABLE,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",
Armenia,63,2025,Ene-Dic (12 meses),ingreso_pobreza,% propietarios en pobreza monetaria,10.51,,,,,3076,,ACEPTABLE,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",
Armenia,63,2025,Ene-Dic (12 meses),ingreso_pobreza,Brecha de ingreso propietarios vs arrendatarios,39.13,,,,,0,,NO_APLICA,"Pobreza Monetaria 2025 (DANE, catalogo ANDA 908)",(+) = propietarios ganan mas; calculado sobre medianas ponderadas
