tipo_prueba,ciudad_nombre,anio,indicador,resultado,evidencia
SENSIBILIDAD_OUTLIERS,Santa Marta,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Santa Marta,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Santa Marta,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Santa Marta,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Santa Marta,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Santa Marta,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Santa Marta,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Santa Marta,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Sincelejo,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Valledupar,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Valledupar,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Valledupar,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
